Model ; X100+Option
25125 ; -20 ; 0 ; 0 ; -80 ; -40 ; -205 ; 10 ; 25 ; -40 ; 20
25250 ; -20 ; -5 ; 5 ; -95 ; -45 ; -205 ; 10 ; 25 ; -50 ; 20
25375 ; -20 ; -5 ; 5 ; -115 ; -50 ; -200 ; 10 ; 30 ; -60 ; 20
25500 ; -20 ; -5 ; 5 ; -135 ; -60 ; -195 ; 15 ; 30 ; -70 ; 20
25625 ; -20 ; -10 ; -5 ; -150 ; -75 ; -195 ; 15 ; 30 ; -80 ; 20
25750 ; -15 ; -10 ; -15 ; -165 ; -90 ; -190 ; 20 ; 30 ; -90 ; 20
25875 ; -15 ; -10 ; -20 ; -175 ; -105 ; -190 ; 20 ; 30 ; -95 ; 20
26000 ; -10 ; -5 ; -25 ; -180 ; -120 ; -190 ; 20 ; 25 ; -100 ; 20
26125 ; -5 ; -5 ; -30 ; -185 ; -130 ; -190 ; 15 ; 20 ; -105 ; 25
26250 ; 0 ; 0 ; -30 ; -185 ; -140 ; -190 ; 15 ; 15 ; -110 ; 25
26375 ; -5 ; 0 ; -30 ; -180 ; -150 ; -195 ; 10 ; 5 ; -115 ; 25
26500 ; -5 ; 0 ; -30 ; -180 ; -165 ; -195 ; 0 ; -5 ; -115 ; 25
26625 ; -10 ; 0 ; -30 ; -175 ; -175 ; -200 ; -5 ; -15 ; -115 ; 25
26750 ; -10 ; 0 ; -25 ; -175 ; -185 ; -200 ; -15 ; -20 ; -115 ; 30
26875 ; -15 ; 0 ; -20 ; -175 ; -195 ; -205 ; -15 ; -25 ; -115 ; 30
27000 ; -15 ; 5 ; -20 ; -165 ; -205 ; -205 ; -20 ; -30 ; -120 ; 35
27125 ; -20 ; 10 ; -20 ; -160 ; -210 ; -205 ; -25 ; -35 ; -125 ; 35
27250 ; -20 ; 10 ; -20 ; -155 ; -215 ; -200 ; -30 ; -40 ; -135 ; 40
27375 ; -20 ; 10 ; -15 ; -150 ; -215 ; -200 ; -35 ; -45 ; -145 ; 40
27500 ; -25 ; 10 ; -15 ; -145 ; -220 ; -200 ; -45 ; -50 ; -150 ; 40
27625 ; -25 ; 5 ; -10 ; -140 ; -215 ; -200 ; -50 ; -55 ; -150 ; 35
27750 ; -25 ; 5 ; -10 ; -130 ; -220 ; -200 ; -55 ; -65 ; -150 ; 30
27875 ; -25 ; 5 ; -10 ; -120 ; -225 ; -200 ; -65 ; -70 ; -145 ; 25
28000 ; -15 ; 5 ; -10 ; -110 ; -225 ; -190 ; -70 ; -75 ; -135 ; 20
28125 ; -10 ; 5 ; -10 ; -95 ; -225 ; -185 ; -75 ; -75 ; -125 ; 20
28250 ; 0 ; 15 ; -5 ; -80 ; -220 ; -180 ; -80 ; -75 ; -115 ; 15
28375 ; 5 ; 20 ; -5 ; -65 ; -205 ; -180 ; -75 ; -65 ; -100 ; 15
28500 ; 20 ; 25 ; -5 ; -50 ; -195 ; -175 ; -75 ; -65 ; -90 ; 15
28625 ; 25 ; 30 ; -5 ; -35 ; -180 ; -175 ; -75 ; -60 ; -80 ; 15
28750 ; 35 ; 35 ; -10 ; -20 ; -160 ; -175 ; -70 ; -50 ; -70 ; 15
28875 ; 45 ; 40 ; -10 ; -5 ; -145 ; -175 ; -70 ; -50 ; -60 ; 15
29000 ; 50 ; 45 ; -15 ; 10 ; -130 ; -175 ; -65 ; -40 ; -55 ; 10
29125 ; 55 ; 50 ; -15 ; 25 ; -115 ; -175 ; -55 ; -35 ; -45 ; 15
29250 ; 60 ; 55 ; -20 ; 35 ; -100 ; -180 ; -50 ; -30 ; -35 ; 10
29375 ; 65 ; 60 ; -20 ; 40 ; -80 ; -185 ; -45 ; -20 ; -20 ; 10
29500 ; 70 ; 65 ; -25 ; 50 ; -65 ; -185 ; -35 ; -10 ; -5 ; 10
29625 ; 75 ; 70 ; -30 ; 60 ; -50 ; -190 ; -20 ; -5 ; 5 ; 15
29750 ; 80 ; 75 ; -40 ; 70 ; -30 ; -195 ; -10 ; 5 ; 20 ; 15
29875 ; 80 ; 75 ; -40 ; 75 ; -15 ; -195 ; 0 ; 15 ; 40 ; 20
30000 ; 80 ; 75 ; -45 ; 80 ; 0 ; -200 ; 5 ; 20 ; 55 ; 15
30125 ; 80 ; 70 ; -45 ; 85 ; 10 ; -200 ; 15 ; 25 ; 75 ; 15
30250 ; 80 ; 65 ; -45 ; 80 ; 20 ; -200 ; 25 ; 30 ; 90 ; 10
30375 ; 75 ; 60 ; -45 ; 80 ; 35 ; -200 ; 30 ; 30 ; 110 ; 10
30500 ; 75 ; 55 ; -45 ; 75 ; 45 ; -205 ; 30 ; 30 ; 125 ; 5
30625 ; 75 ; 45 ; -40 ; 75 ; 55 ; -205 ; 35 ; 30 ; 145 ; 0
30750 ; 75 ; 35 ; -40 ; 80 ; 65 ; -205 ; 30 ; 30 ; 155 ; -5
30875 ; 70 ; 25 ; -35 ; 90 ; 80 ; -210 ; 25 ; 25 ; 160 ; -5
31000 ; 65 ; 15 ; -40 ; 90 ; 90 ; -210 ; 20 ; 25 ; 155 ; -5
31125 ; 55 ; 5 ; -40 ; 95 ; 100 ; -215 ; 15 ; 30 ; 145 ; 0
31250 ; 45 ; 0 ; -50 ; 100 ; 100 ; -220 ; 10 ; 30 ; 135 ; 0
31375 ; 35 ; -5 ; -55 ; 100 ; 105 ; -225 ; 10 ; 35 ; 115 ; 0
31500 ; 25 ; -15 ; -60 ; 100 ; 105 ; -230 ; 10 ; 45 ; 100 ; 0
31625 ; 10 ; -15 ; -65 ; 95 ; 105 ; -240 ; 10 ; 50 ; 85 ; 0
31750 ; 5 ; -20 ; -70 ; 85 ; 105 ; -250 ; 10 ; 55 ; 75 ; 0
31875 ; 0 ; -25 ; -75 ; 80 ; 105 ; -255 ; 15 ; 50 ; 65 ; 0
32000 ; -10 ; -25 ; -80 ; 75 ; 105 ; -265 ; 15 ; 50 ; 60 ; 0
32125 ; -15 ; -25 ; -90 ; 70 ; 100 ; -270 ; 15 ; 45 ; 55 ; 0
32250 ; -20 ; -30 ; -95 ; 65 ; 95 ; -275 ; 15 ; 40 ; 55 ; 0
32375 ; -30 ; -25 ; -105 ; 60 ; 85 ; -275 ; 15 ; 35 ; 55 ; 0
32500 ; -40 ; -25 ; -110 ; 55 ; 80 ; -280 ; 10 ; 35 ; 50 ; -5
32625 ; -50 ; -20 ; -115 ; 50 ; 70 ; -280 ; 5 ; 30 ; 45 ; -5
32750 ; -55 ; -20 ; -120 ; 40 ; 65 ; -285 ; 0 ; 20 ; 40 ; -15
32875 ; -60 ; -20 ; -120 ; 30 ; 55 ; -285 ; -5 ; 15 ; 35 ; -15
33000 ; -60 ; -20 ; -120 ; 25 ; 45 ; -285 ; -10 ; 10 ; 25 ; -20
33125 ; -65 ; -20 ; -120 ; 15 ; 35 ; -285 ; -15 ; 0 ; 20 ; -25
33250 ; -60 ; -20 ; -115 ; 10 ; 25 ; -290 ; -20 ; -5 ; 15 ; -30
33375 ; -60 ; -20 ; -110 ; 10 ; 15 ; -285 ; -20 ; -10 ; 10 ; -30
33500 ; -60 ; -20 ; -110 ; 5 ; 5 ; -285 ; -20 ; -10 ; 10 ; -35
33625 ; -60 ; -20 ; -110 ; 5 ; 0 ; -285 ; -15 ; -15 ; 10 ; -35
33750 ; -60 ; -20 ; -110 ; 5 ; 0 ; -285 ; -15 ; -20 ; 10 ; -40
33875 ; -60 ; -15 ; -115 ; 5 ; -5 ; -285 ; -15 ; -20 ; 10 ; -40
34000 ; -65 ; -15 ; -115 ; 5 ; 0 ; -280 ; -15 ; -20 ; 15 ; -40
34125 ; -65 ; -15 ; -120 ; 10 ; 0 ; -280 ; -15 ; -20 ; 15 ; -40
34250 ; -65 ; -15 ; -120 ; 10 ; 0 ; -280 ; -20 ; -20 ; 20 ; -40
34375 ; -65 ; -10 ; -120 ; 15 ; 0 ; -275 ; -15 ; -20 ; 25 ; -35
34500 ; -60 ; -10 ; -120 ; 15 ; 0 ; -275 ; -20 ; -15 ; 25 ; -35
34625 ; -60 ; -5 ; -120 ; 20 ; 0 ; -265 ; -20 ; -20 ; 30 ; -35
34750 ; -55 ; -5 ; -110 ; 20 ; 0 ; -260 ; -20 ; -15 ; 40 ; -30
34875 ; -55 ; -5 ; -105 ; 25 ; 0 ; -250 ; -15 ; -15 ; 40 ; -30
35000 ; -55 ; 0 ; -100 ; 30 ; 0 ; -245 ; -20 ; -15 ; 45 ; -30
35125 ; -50 ; 0 ; -95 ; 35 ; 5 ; -230 ; -15 ; -15 ; 50 ; -25
35250 ; -50 ; 5 ; -85 ; 40 ; 5 ; -225 ; -20 ; -10 ; 55 ; -20
35375 ; -45 ; 10 ; -80 ; 40 ; 5 ; -220 ; -20 ; -10 ; 60 ; -15
35500 ; -45 ; 15 ; -75 ; 40 ; 5 ; -215 ; -20 ; -5 ; 60 ; -15
35625 ; -40 ; 15 ; -65 ; 40 ; 0 ; -210 ; -15 ; -5 ; 60 ; -10
35750 ; -40 ; 15 ; -60 ; 35 ; -5 ; -210 ; -20 ; 0 ; 50 ; -10
35875 ; -35 ; 10 ; -55 ; 25 ; -10 ; -215 ; -20 ; 5 ; 45 ; -5
36000 ; -40 ; 0 ; -50 ; 25 ; -15 ; -220 ; -20 ; 5 ; 30 ; -5
36125 ; -40 ; -5 ; -45 ; 20 ; -20 ; -225 ; -20 ; 10 ; 25 ; 0
36250 ; -40 ; -10 ; -40 ; 20 ; -20 ; -230 ; -15 ; 15 ; 20 ; 5
36375 ; -40 ; -10 ; -40 ; 15 ; -25 ; -235 ; -15 ; 20 ; 20 ; 5
36500 ; -40 ; -10 ; -35 ; 20 ; -25 ; -240 ; -15 ; 20 ; 20 ; 5
36625 ; -35 ; -10 ; -35 ; 15 ; -25 ; -240 ; -15 ; 25 ; 20 ; 0
36750 ; -40 ; -10 ; -30 ; 20 ; -25 ; -240 ; -15 ; 25 ; 15 ; -5
36875 ; -40 ; -10 ; -30 ; 20 ; -25 ; -240 ; -15 ; 30 ; 15 ; -10
37000 ; -40 ; -10 ; -30 ; 20 ; -20 ; -240 ; -15 ; 35 ; 20 ; -15
37125 ; -40 ; -10 ; -35 ; 25 ; -20 ; -235 ; -15 ; 35 ; 20 ; -15
37250 ; -40 ; -5 ; -40 ; 25 ; -20 ; -235 ; -15 ; 35 ; 20 ; -20
37375 ; -40 ; -5 ; -50 ; 25 ; -20 ; -235 ; -15 ; 30 ; 20 ; -20
37500 ; -40 ; -5 ; -55 ; 30 ; -20 ; -235 ; -15 ; 25 ; 20 ; -20
37625 ; -40 ; -5 ; -55 ; 25 ; -20 ; -240 ; -15 ; 20 ; 20 ; -20
37750 ; -35 ; -5 ; -60 ; 25 ; -20 ; -235 ; -10 ; 15 ; 20 ; -20
37875 ; -35 ; -5 ; -60 ; 25 ; -20 ; -235 ; -10 ; 10 ; 20 ; -15
38000 ; -40 ; 0 ; -60 ; 25 ; -20 ; -235 ; -10 ; 10 ; 20 ; -15
38125 ; -35 ; -5 ; -65 ; 25 ; -20 ; -235 ; -10 ; 10 ; 20 ; -15
38250 ; -35 ; -5 ; -65 ; 25 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
38375 ; -35 ; -5 ; -65 ; 20 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
38500 ; -35 ; -5 ; -65 ; 20 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
38625 ; -35 ; -5 ; -65 ; 20 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
38750 ; -35 ; 0 ; -65 ; 20 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
38875 ; -35 ; 0 ; -65 ; 15 ; -20 ; -235 ; -10 ; 5 ; 20 ; -15
39000 ; -35 ; 0 ; -65 ; 20 ; -15 ; -230 ; -10 ; 5 ; 20 ; -15
39125 ; -35 ; 0 ; -70 ; 20 ; -15 ; -230 ; -10 ; 5 ; 20 ; -15
39250 ; -35 ; 0 ; -70 ; 20 ; -15 ; -230 ; -10 ; 10 ; 25 ; -15
39375 ; -35 ; 0 ; -70 ; 15 ; -15 ; -230 ; -10 ; 5 ; 25 ; -15
39500 ; -35 ; 0 ; -70 ; 15 ; -15 ; -230 ; -10 ; 5 ; 25 ; -15
39625 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 5 ; 25 ; -15
39750 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 5 ; 25 ; -10
39875 ; -30 ; 0 ; -75 ; 15 ; -20 ; -225 ; -10 ; 5 ; 25 ; -10
40000 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -5 ; 5 ; 20 ; -10
40125 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 0 ; 20 ; -10
40250 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 0 ; 20 ; -10
40375 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 5 ; 20 ; -10
40500 ; -35 ; 0 ; -70 ; 15 ; -15 ; -220 ; -5 ; 0 ; 20 ; -10
40625 ; -35 ; 0 ; -70 ; 15 ; -15 ; -225 ; -10 ; 0 ; 20 ; -10
40750 ; -30 ; 0 ; -65 ; 15 ; -15 ; -220 ; -5 ; 5 ; 15 ; -5
40875 ; -30 ; 0 ; -70 ; 15 ; -15 ; -220 ; -10 ; 5 ; 20 ; -10
41000 ; -35 ; 5 ; -70 ; 15 ; -15 ; -220 ; -10 ; 5 ; 20 ; -5
41125 ; -30 ; 5 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 20 ; -5
41250 ; -30 ; 5 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
41375 ; -30 ; 5 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 20 ; -5
41500 ; -30 ; 5 ; -70 ; 15 ; -20 ; -220 ; -5 ; 5 ; 15 ; -5
41625 ; -30 ; 0 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 20 ; -5
41750 ; -30 ; 0 ; -70 ; 10 ; -20 ; -220 ; -5 ; 5 ; 15 ; -5
41875 ; -30 ; 0 ; -70 ; 10 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42000 ; -25 ; -5 ; -70 ; 10 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42125 ; -30 ; -5 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42250 ; -25 ; -5 ; -70 ; 15 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42375 ; -25 ; -5 ; -70 ; 10 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42500 ; -25 ; 0 ; -70 ; 10 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42625 ; -25 ; -5 ; -70 ; 10 ; -20 ; -220 ; -10 ; 5 ; 15 ; -5
42750 ; -25 ; -5 ; -70 ; 10 ; -25 ; -220 ; -10 ; 5 ; 15 ; -5
42875 ; -25 ; 0 ; -70 ; 10 ; -25 ; -220 ; -10 ; 5 ; 15 ; -5
43000 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 5 ; 15 ; -5
43125 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 5 ; 15 ; -5
43250 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 0 ; 15 ; -5
43375 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 0 ; 15 ; -5
43500 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -5
43625 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -10
43750 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 0 ; 15 ; -10
43875 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -10
44000 ; -25 ; -5 ; -75 ; 10 ; -25 ; -215 ; -10 ; 0 ; 15 ; -5
44125 ; -25 ; -5 ; -70 ; 10 ; -25 ; -215 ; -10 ; 0 ; 20 ; -5
44250 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -5
44375 ; -25 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -10
44500 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 15 ; -5
44625 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 20 ; -5
44750 ; -20 ; -5 ; -75 ; 5 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
44875 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
45000 ; -20 ; -5 ; -75 ; 5 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
45125 ; -20 ; -5 ; -75 ; 5 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
45250 ; -20 ; -5 ; -75 ; 5 ; -25 ; -215 ; -15 ; 0 ; 20 ; -5
45375 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
45500 ; -20 ; -5 ; -75 ; 5 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
45625 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 5 ; 20 ; -10
45750 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
45875 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -5
46000 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -15 ; 0 ; 20 ; -5
46125 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
46250 ; -15 ; -5 ; -75 ; 5 ; -25 ; -215 ; -20 ; 0 ; 20 ; -5
46375 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
46500 ; -20 ; -5 ; -80 ; 5 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
46625 ; -20 ; -5 ; -75 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
46750 ; -15 ; -5 ; -80 ; 10 ; -25 ; -215 ; -15 ; 0 ; 20 ; -10
46875 ; -15 ; -5 ; -80 ; 10 ; -25 ; -215 ; -20 ; 0 ; 20 ; -10
47000 ; -15 ; -5 ; -80 ; 10 ; -25 ; -215 ; -20 ; 5 ; 25 ; -10
47125 ; -15 ; -5 ; -75 ; 10 ; -20 ; -215 ; -20 ; 5 ; 25 ; -10
47250 ; -15 ; -5 ; -80 ; 10 ; -25 ; -215 ; -20 ; 5 ; 25 ; -10
47375 ; -15 ; -5 ; -75 ; 10 ; -20 ; -215 ; -20 ; 5 ; 25 ; -10
47500 ; -15 ; -5 ; -80 ; 10 ; -25 ; -215 ; -20 ; 5 ; 25 ; -10
47625 ; -10 ; -5 ; -80 ; 10 ; -25 ; -215 ; -20 ; 5 ; 25 ; -10
47750 ; -10 ; -5 ; -80 ; 10 ; -20 ; -215 ; -20 ; 5 ; 25 ; -10
47875 ; -10 ; -5 ; -75 ; 10 ; -20 ; -215 ; -20 ; 5 ; 25 ; -10
48000 ; -10 ; -5 ; -80 ; 10 ; -20 ; -220 ; -20 ; 5 ; 25 ; -15
48125 ; -10 ; -5 ; -80 ; 10 ; -20 ; -220 ; -20 ; 5 ; 25 ; -10
48250 ; -10 ; -5 ; -80 ; 15 ; -20 ; -220 ; -20 ; 5 ; 25 ; -10
48375 ; -10 ; -5 ; -80 ; 15 ; -20 ; -220 ; -20 ; 5 ; 25 ; -15
48500 ; -10 ; -5 ; -80 ; 10 ; -20 ; -220 ; -20 ; 5 ; 30 ; -10
48625 ; -10 ; -5 ; -80 ; 10 ; -20 ; -220 ; -20 ; 5 ; 30 ; -15
48750 ; -10 ; -5 ; -80 ; 10 ; -20 ; -220 ; -20 ; 5 ; 30 ; -15
48875 ; -5 ; -5 ; -75 ; 10 ; -20 ; -220 ; -20 ; 5 ; 30 ; -15
49000 ; -10 ; -5 ; -80 ; 15 ; -20 ; -220 ; -20 ; 5 ; 30 ; -10
49125 ; -5 ; -5 ; -80 ; 15 ; -20 ; -220 ; -20 ; 5 ; 30 ; -15
49250 ; -5 ; 0 ; -75 ; 15 ; -20 ; -220 ; -20 ; 10 ; 30 ; -15
49375 ; -5 ; -5 ; -75 ; 15 ; -20 ; -220 ; -20 ; 10 ; 30 ; -15
49500 ; -10 ; 0 ; -75 ; 15 ; -20 ; -220 ; -20 ; 10 ; 30 ; -15
49625 ; -10 ; 0 ; -75 ; 15 ; -20 ; -220 ; -20 ; 10 ; 30 ; -15
49750 ; -5 ; 0 ; -75 ; 15 ; -15 ; -220 ; -20 ; 10 ; 30 ; -15
49875 ; -5 ; 0 ; -75 ; 15 ; -15 ; -215 ; -20 ; 10 ; 30 ; -15
